Ensembl_ID	Gene_symbol	n_ds_tested	n_ds_lrt_sig	min_padj_lrt	lrt_reproduced	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000169429	CXCL8	3	3	2.44287461881587e-75	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000108244	KRT23	3	3	2.677747578128303e-72	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000159167	STC1	3	3	5.294493137211451e-66	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000137331	IER3	3	3	7.5321322195454245e-62	TRUE	1	up	4	F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000168398	BDKRB2	3	3	2.8172718425180384e-61	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000108691	CCL2	3	3	4.5512352844215243e-54	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000142871	CCN1	3	3	1.7716148362862774e-53	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000118523	CCN2	3	3	2.0230015011277583e-53	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F3_vs_F1,F4_vs_F1	baseline_and_strata
ENSG00000128342	LIF	3	3	2.4133287079716246e-52	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000154734	ADAMTS1	3	2	8.077006180671008e-51	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000137801	THBS1	3	3	4.919522044349038e-50	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000108551	RASD1	3	3	1.5800528400749424e-48	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000185022	MAFF	3	2	7.676830587889685e-48	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000136997	MYC	3	3	1.0759320739233224e-46	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000164949	GEM	3	3	1.3098156466333325e-44	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000124875	CXCL6	3	3	5.815327403149239e-42	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000198542	ITGBL1	3	3	2.0751396152493597e-41	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000137673	MMP7	3	3	2.6867035451764452e-40	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000154553	PDLIM3	3	3	5.994280864572864e-37	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000073756	PTGS2	3	2	9.281972166509977e-36	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000163739	CXCL1	3	3	1.66055452181232e-35	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000121966	CXCR4	3	3	2.3419515389878118e-35	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000126803	HSPA2	3	2	3.0422557847453756e-35	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000104435	STMN2	3	3	4.579969981670795e-35	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000138131	LOXL4	3	3	2.43190353869867e-34	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000079931	MOXD1	3	3	6.6184008417686504e-34	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000038427	VCAN	3	3	7.748041454101601e-34	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000119681	LTBP2	3	3	3.01598367823128e-33	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000178726	THBD	3	3	7.742871601389446e-33	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000078098	FAP	3	3	9.738004105003767e-33	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000170961	HAS2	3	2	1.322804913214189e-32	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000115602	IL1RL1	3	1	3.3089664446415307e-32	FALSE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000163075	CFAP221	3	3	1.1052046581936344e-31	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000110799	VWF	3	3	1.1764410578329946e-30	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000186340	THBS2	3	3	2.8469239822041046e-30	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000134258	VTCN1	3	3	5.290312309242078e-30	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000159212	CLIC6	3	3	1.0911368542073807e-29	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000163435	ELF3	3	2	1.761120056424783e-29	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000146038	DCDC2	3	3	4.671282703718948e-28	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000131981	LGALS3	3	3	5.595394529833885e-28	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F3_vs_F1,F4_vs_F1	baseline_and_strata
ENSG00000140092	FBLN5	3	3	1.339227360089498e-27	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000187498	COL4A1	3	3	3.488243051136839e-27	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000137819	PAQR5	3	3	4.156160014132302e-27	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000119280	C1orf198	3	3	5.300110365354985e-27	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000115009	CCL20	3	3	5.3951228215073364e-27	TRUE	3	up	2	F2_vs_F0,F3_vs_F0,F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000101384	JAG1	3	3	5.465361680510556e-27	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000124216	SNAI1	3	3	9.511364879051876e-27	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000158258	CLSTN2	3	3	1.0966813808686915e-26	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000006327	TNFRSF12A	3	3	6.086708897243785e-26	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000172201	ID4	3	3	6.086708897243785e-26	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000138135	CH25H	3	3	1.4916583957872351e-25	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000148180	GSN	3	3	1.7300771957016047e-25	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000124766	SOX4	3	3	2.3696659992647377e-25	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000102265	TIMP1	3	3	2.843209679913475e-25	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000162909	CAPN2	3	3	6.82892526547989e-25	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000152137	HSPB8	3	3	1.3442991312217194e-24	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000167767	KRT80	3	3	2.17656001390299e-24	TRUE	1	up	4	F4_vs_F0	4	up	F3_vs_F1,F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000188042	ARL4C	3	3	2.2643239116658095e-24	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000154096	THY1	3	3	3.622510615401133e-24	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	4	up	F3_vs_F1,F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
